"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P013_2","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P100_2","P113"
"2.6188","-0.142320035","-0.088934320","-0.177359575","-0.038943220","-0.079259033"," 0.249344725","-0.079259033"," 0.174129224","-0.027119282","-0.044772548","-0.157309736"," 0.210802502","-0.130890228"," 0.822640425"," 0.122955730","-0.060073741","-0.027119282","-0.088934320"," 0.167428993","-0.084096677","-0.088934320","-0.088934320","-0.177359575"," 0.017646401"," 0.167428993"," 0.286253210","-0.139230554"," 0.257062069","-0.084096677","-0.088934320","-0.084096677","-0.151410481"," 0.037073258","-0.084096677","-0.139230554"," 0.092963613","-0.119237928","-0.109766064","-0.151410481"," 0.471037201","-0.050601877","-0.124838406","-0.151410481","-0.151410481"," 0.241627381","-0.001475322"," 0.128117578","-0.161899458"," 0.059144608","-0.130890228"
"2.6713"," 0.731060254"," 0.040923239"," 0.231956420"," 0.344031734"," 0.173700679"," 0.091388392"," 0.173700679"," 0.113807425"," 0.403220362"," 0.403220362"," 0.501004658","-0.240909504","-0.053595957"," 0.231956420","-0.033171713","-0.053595957"," 0.731060254"," 0.270125344","-0.268939746"," 0.040923239","-0.088881867"," 0.173700679"," 0.140841265"," 0.501004658","-0.256793374","-0.256038133","-0.166157562","-0.180696687"," 0.029678988","-0.211926528","-0.180696687","-0.129298649","-0.219659556","-0.166157562"," 0.051631578","-0.194630428","-0.170127289","-0.209582405","-0.240909504","-0.150209185","-0.210754466","-0.231197567","-0.217525828","-0.224468880","-0.187931514"," 0.001146576","-0.250654191","-0.267302233","-0.232638578","-0.085631653"
"2.7019"," 0.58335133","-0.05131660"," 0.14035867"," 0.18734992"," 0.11773749"," 0.05020084"," 0.05020084"," 0.02570819"," 0.28898179"," 0.37042784"," 0.52048930"," 0.46408345","-0.05577056"," 0.14035867","-0.06022451","-0.08415327"," 0.37042784"," 0.28898179"," 0.70507094","-0.06022451","-0.06617401"," 0.14035867"," 0.20586856"," 0.42454542"," 0.28898179","-0.26465035","-0.20669992","-0.20863024","-0.01326595","-0.25017705","-0.23600612","-0.17104214","-0.24467212","-0.15912680","-0.05131660","-0.20863024","-0.21633681","-0.23600612","-0.27434281","-0.18687697","-0.25017705","-0.25829387","-0.25017705","-0.17972122","-0.21978229","-0.01326595","-0.29492906","-0.29005832","-0.16625312","-0.13518169"
"2.72625","-0.18265251"," 0.02085859","-0.18265251"," 0.33262061","-0.18265251","-0.22330357"," 0.14730456"," 0.14730456","-0.16459337","-0.22330357","-0.22330357"," 0.33262061","-0.14281687","-0.19746596","-0.11634772","-0.19746596"," 0.14730456","-0.25534475"," 0.33262061","-0.11634772","-0.03867502"," 0.65519094","-0.11634772","-0.26640888","-0.06942113","-0.21467771","-0.03867502","-0.19746596","-0.03867502"," 0.33262061"," 0.06853664","-0.19746596"," 0.02085859","-0.23236112","-0.09700949"," 0.33262061"," 0.06853664"," 0.14730456"," 0.06853664"," 0.33262061"," 0.33262061"," 0.06853664","-0.34480906"," 0.14730456","-0.06942113","-0.03867502","-0.06942113","-0.03867502"," 0.65519094","-0.21467771"
"2.7571","-0.324636837","-0.456844028"," 0.043553860"," 0.397565290","-0.253523475","-0.154955871","-0.412859365","-0.177743977","-0.442339217","-0.365944802","-0.046224047","-0.383017796"," 0.097955943"," 0.344573899"," 0.293590031","-0.383017796","-0.456844028","-0.139058453","-0.399801418","-0.253523475","-0.008858786","-0.253523475","-0.096213195"," 0.043553860","-0.324636837","-0.154955871","-0.324636837"," 0.344573899"," 0.524093540","-0.154955871","-0.123161036"," 0.363726760"," 0.438981770","-0.123161036"," 0.438981770"," 0.344573899"," 0.344573899"," 0.043553860"," 0.043553860"," 0.293590031"," 0.216020039"," 0.153226145","-0.029404254","-0.365944802"," 0.216020039"," 0.312236490"," 0.011686682"," 0.232351516"," 0.543155972"," 0.524093540"
"2.7833","-0.042007422","-0.110107306"," 0.016894776"," 0.644874774","-0.238938354"," 0.064310438","-0.182187569","-0.182187569","-0.207401918","-0.090326994","-0.138133821","-0.155937160","-0.207401918","-0.130458510","-0.147680386","-0.082514246","-0.042007422","-0.160985315","-0.147680386"," 0.004060303","-0.119558722","-0.155937160","-0.119558722","-0.147680386","-0.182187569","-0.155937160"," 0.156181586"," 0.079534195"," 0.099991119"," 0.107735149"," 0.262536447"," 0.004060303"," 0.262536447"," 0.064310438","-0.069003161"," 0.016894776"," 0.458383744","-0.098911501","-0.015328844"," 0.004060303"," 0.761061646"," 0.079534195","-0.110107306"," 0.278870270"," 0.033556333"," 0.099991119","-0.119558722","-0.037519585"," 0.064310438"," 0.033556333"
"2.8333","-0.097125397","-0.137331169"," 0.396690503"," 0.582213507","-0.213346346","-0.153803860","-0.124087344","-0.062246342","-0.153803860","-0.213346346","-0.088971141","-0.311270386","-0.114683498","-0.346641979","-0.240782590","-0.054840016","-0.124087344","-0.088971141","-0.124087344","-0.145567514","-0.185472290","-0.124087344","-0.062246342","-0.088971141","-0.417786493"," 0.074570032","-0.048099529","-0.018045532"," 0.492142727"," 0.036279689"," 0.396690503"," 0.238257142"," 0.473672516"," 0.300280565"," 0.020792076"," 0.001564814","-0.069652669","-0.168051005","-0.048099529"," 0.396690503"," 0.063798023"," 0.273555766"," 0.108026196"," 0.011178445","-0.041359043","-0.029702288","-0.041359043"," 0.011178445"," 0.130172206"," 0.130172206"
"2.87505"," 0.028762417","-0.036724684","-0.067066786","-0.023688253"," 0.042750147","-0.052056495","-0.009667377","-0.023688253","-0.084574650","-0.105257928","-0.019664294","-0.105257928","-0.069766551"," 0.024005927"," 0.014857554"," 0.018470498","-0.050831740","-0.046595645"," 0.006388680"," 0.069383181","-0.096835459"," 0.036120891","-0.077017299"," 0.036120891","-0.071263105"," 0.894742072"," 0.049462268"," 0.057351082","-0.053281249","-0.096835459","-0.093752855"," 0.115738250","-0.071263105"," 0.049462268","-0.060964557"," 0.146133387","-0.068269996","-0.019664294","-0.023688253"," 0.094491486"," 0.011244610"," 0.011244610","-0.099874972","-0.071263105"," 0.127786922","-0.077017299","-0.029767280","-0.019664294","-0.055972727","-0.053281249"
"2.9053","-0.126210515"," 0.044337463","-0.178909683","-0.018337745","-0.066761468","-0.163953456","-0.096063145","-0.073119822","-0.055188010","-0.035173289"," 0.025841856","-0.096063145","-0.055188010","-0.137580380","-0.096063145"," 0.677792429","-0.035173289","-0.066761468"," 0.272251578","-0.066761468"," 0.025841856","-0.018337745"," 0.104412948","-0.066761468","-0.055188010"," 0.025841856","-0.087770661"," 0.035089659"," 0.255181119"," 0.044337463"," 0.173587459","-0.087770661","-0.001831081"," 0.298405400"," 0.082565894"," 0.073059684"," 0.238110660","-0.178909683","-0.079478176","-0.079478176","-0.066761468","-0.137580380","-0.322207571","-0.096063145","-0.066761468"," 0.073059684","-0.178909683"," 0.058698573"," 0.309642147"," 0.073059684"
"2.93095","-0.25651711"," 0.18104495","-0.01045884"," 0.35282194"," 0.12994175"," 0.27834690","-0.11445143","-0.24495229"," 0.15682543","-0.10931083","-0.08389244","-0.36732144","-0.08389244","-0.11959202","-0.31765930","-0.22455945"," 0.21997784"," 0.63267856","-0.09819407","-0.34002604","-0.01045884"," 0.07914130"," 0.27834690","-0.21576776"," 0.10245259","-0.05433251"," 0.47522137"," 0.20556722"," 0.12994175"," 0.02476846","-0.21576776"," 0.49172092","-0.08389244","-0.19245647"," 0.06594166","-0.09104326","-0.16532454","-0.01045884","-0.20328259","-0.14537371"," 0.30498837","-0.08389244","-0.25651711","-0.06168314"," 0.02476846","-0.01045884","-0.33447371","-0.12597387"," 0.50794800","-0.01045884"
"3.0195"," 0.231575006","-0.053151313","-0.055513233","-0.047055520","-0.028406154"," 0.016122332","-0.047055520","-0.024046302","-0.055513233","-0.053151313","-0.028406154","-0.047055520"," 0.011072504","-0.048269479","-0.007371869","-0.072868642"," 0.093719694"," 0.041911455","-0.049483438","-0.035205923"," 0.011072504"," 0.011072504"," 0.002502795"," 0.032821764"," 0.071740441","-0.072868642","-0.017836514","-0.031336055","-0.081660344","-0.067338830","-0.053151313","-0.005346938","-0.095451875","-0.047055520","-0.095451875","-0.009396801","-0.024046302","-0.066599856","-0.045479574","-0.105367538","-0.047055520","-0.064582924","-0.053151313"," 0.894632462","-0.101481670"," 0.357230734"," 0.145337939","-0.009396801","-0.089486077","-0.084716240"
"3.0477"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02","-0.98"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"," 0.02"
"3.1338","-0.280883029"," 0.467828993"," 0.233788013"," 0.177420975","-0.422449748","-0.259541340"," 0.577550252","-0.284383373"," 0.328499974","-0.007620670"," 0.089008537","-0.193319657"," 0.233788013","-0.007620670"," 0.123546358"," 0.089008537"," 0.438276012"," 0.177420975","-0.164204904"," 0.290593278","-0.122135045"," 0.438276012"," 0.290593278","-0.164204904","-0.269220694","-0.203919289"," 0.089008537"," 0.021987089"," 0.058770826","-0.077161928","-0.063330366","-0.373014924","-0.373014924","-0.031504080","-0.089213190"," 0.407244013","-0.039611292","-0.414909492","-0.063330366"," 0.123546358","-0.400919073","-0.421351439","-0.156344195"," 0.007306461","-0.094923844"," 0.407244013","-0.274994344","-0.193319657"," 0.407244013","-0.031504080"
"3.1607","-0.01654974"," 0.35380193"," 0.03720978"," 0.07857189","-0.24602342"," 0.07857189"," 0.07857189"," 0.35380193","-0.16826378","-0.01654974"," 0.07857189","-0.26232892"," 0.30856914","-0.11969322"," 0.03720978"," 0.35380193","-0.08121076","-0.04242911","-0.30952510"," 0.55987386"," 0.03720978"," 0.19572089","-0.10417309"," 0.19572089","-0.08121076","-0.33177687"," 0.24665687","-0.19230130","-0.29350009"," 0.01033002","-0.23583249","-0.21513273","-0.10417309","-0.25282985","-0.31975344","-0.11969322","-0.22580984","-0.32420379","-0.21513273"," 0.24665687"," 0.24665687"," 0.24665687","-0.44012614"," 0.30856914"," 0.07857189"," 0.11883075"," 0.05839570","-0.13895316"," 0.49024827"," 0.05839570"
"3.1967","-0.088991097"," 0.031918446","-0.078806626","-0.030995829","-0.108572344"," 0.012732681","-0.006992378"," 0.044488881","-0.062124488","-0.020432219","-0.020432219","-0.059411680","-0.020432219","-0.014375793","-0.020432219","-0.014375793","-0.014375793","-0.059411680","-0.065490986","-0.034698976","-0.027469179"," 0.001910863","-0.006992378","-0.027469179","-0.027469179"," 0.044488881"," 0.891427656","-0.076283387"," 0.088321981","-0.068553517","-0.093942789","-0.034698976","-0.034698976","-0.027469179"," 0.120525958","-0.014375793","-0.062124488","-0.027469179"," 0.012732681","-0.048619279","-0.020432219","-0.006992378","-0.048619279","-0.014375793"," 0.012732681"," 0.031918446"," 0.068828982","-0.006992378"," 0.012732681"," 0.020639046"
"3.2292","-0.169803978","-0.048730593","-0.195560849","-0.138679896","-0.179464960","-0.077650311","-0.114674734","-0.033828856","-0.112059386","-0.128487941"," 0.057679597","-0.023884784","-0.114674734","-0.086710625","-0.205525038"," 0.057679597","-0.003227843"," 0.004912788","-0.003227843","-0.142099967","-0.100189728","-0.163554445","-0.048730593"," 0.077251599","-0.094642890"," 0.338003268","-0.003227843"," 0.118421781"," 0.224357760","-0.118324726","-0.091416815","-0.048730593","-0.122578259"," 0.504559285"," 0.267209236","-0.133463569"," 0.118421781","-0.118324726"," 0.077251599","-0.172068697"," 0.170850894","-0.136459724"," 0.004912788","-0.086710625","-0.138679896","-0.165623732"," 0.794474962","-0.023884784"," 0.224357760"," 0.504559285"
"3.25475","-0.085244965","-0.050958878","-0.082900995","-0.031479543","-0.079222823"," 0.076333500","-0.057163393","-0.050958878"," 0.153793949","-0.067514489","-0.082900995","-0.083762946","-0.055092021","-0.082900995","-0.077424051","-0.064857605","-0.043065015"," 0.153793949","-0.043065015","-0.064857605","-0.047401648","-0.055092021","-0.059338428","-0.097220139"," 0.001468504","-0.020210823","-0.031479543"," 0.153793949"," 0.076333500","-0.050958878"," 0.076333500"," 0.031832616","-0.081643582","-0.050958878"," 0.076333500","-0.057163393"," 0.076333500"," 0.153793949"," 0.076333500","-0.059338428","-0.067514489"," 0.076333500"," 0.902779861","-0.026835755","-0.081643582","-0.071495975","-0.012827604","-0.095528872","-0.047401648"," 0.031832616"
"3.3021","-0.278354241"," 0.029124566"," 0.046482264","-0.105568011","-0.186307496"," 0.152278831","-0.100602518","-0.059134914","-0.059134914","-0.166302014","-0.149331797","-0.171841552","-0.066877351","-0.211988852"," 0.046482264","-0.145970043"," 0.046482264","-0.251621664"," 0.721645759"," 0.125560606","-0.095637025","-0.105568011"," 0.098842380","-0.222658921"," 0.029124566","-0.135217456"," 0.721645759","-0.014179983"," 0.029124566"," 0.152278831","-0.243625929"," 0.005366262"," 0.432111612","-0.206567711","-0.158380187","-0.120450138"," 0.152278831","-0.066877351"," 0.046482264","-0.066877351"," 0.721645759"," 0.046482264","-0.135217456"," 0.005366262"," 0.265774782","-0.205071605","-0.186307496","-0.166302014"," 0.432111612","-0.224718309"
"3.3613","-0.007275966","-0.266999592"," 0.002871797"," 0.300881062","-0.187019454"," 0.264368819","-0.160182069"," 0.200684215"," 0.200684215","-0.227098193","-0.202487404","-0.312457631","-0.344242790","-0.327842822","-0.304958138","-0.296686233","-0.272788743","-0.050586225","-0.025738984"," 0.029374208","-0.314575853","-0.253699126","-0.247925738","-0.098802879","-0.098802879","-0.087551670"," 0.345393290","-0.187019454"," 0.399068061"," 0.345393290"," 0.655757210"," 0.345393290"," 0.264368819"," 0.121709002"," 0.399068061","-0.253699126","-0.143118063","-0.120103330"," 0.221945257","-0.050586225"," 0.511974242","-0.160182069","-0.148950564"," 0.121709002"," 0.053571205","-0.170132788"," 0.399068061"," 0.221945257","-0.137285562"," 0.053571205"
"3.40975","-0.031381627","-0.118708956","-0.118708956","-0.118708956","-0.046005688","-0.073617276"," 0.077898594"," 0.010470583","-0.118023113","-0.121315948","-0.046005688"," 0.005479942","-0.097983465","-0.120211089","-0.093900033","-0.006043005","-0.118708956","-0.023090245","-0.115467509","-0.092158744","-0.073617276","-0.118708956","-0.093900033","-0.029227251","-0.084278472"," 0.180261095","-0.083506652"," 0.493287953"," 0.010470583","-0.101268394"," 0.054526581","-0.082734832","-0.075710381"," 0.552226933","-0.057991133","-0.108391669"," 0.005479942"," 0.264034691"," 0.030571503","-0.063817831"," 0.105539829","-0.023090245"," 0.878684052"," 0.202121092","-0.115467509","-0.048851836","-0.116384602","-0.114534605","-0.078496246"," 0.058963805"
"3.4349","-0.077095273"," 0.114275913","-0.073012800"," 0.114275913","-0.079215828","-0.111720214"," 0.038958979","-0.071496037","-0.003215784"," 0.015335025","-0.059981909"," 0.063068556","-0.048786673","-0.073012800","-0.053267358","-0.003215784"," 0.038958979","-0.085017408","-0.003215784","-0.117530211"," 0.063068556"," 0.063068556"," 0.026507598","-0.063957545","-0.035810819","-0.025347256"," 0.082376938"," 0.082376938","-0.032317569"," 0.038958979"," 0.026507598","-0.122123559","-0.118889308"," 0.114275913","-0.080669461"," 0.038958979","-0.112652610"," 0.015335025","-0.019348190","-0.109993013"," 0.007503540","-0.114536181"," 0.877876441"," 0.038958979"," 0.015335025","-0.063957545"," 0.082376938","-0.099511644","-0.059981909","-0.039478894"
"3.4525"," 0.015167100","-0.189655504","-0.181475945","-0.189655504","-0.073853194"," 0.204435887","-0.019713946"," 0.094627318"," 0.135913384","-0.200791669"," 0.106131621","-0.200791669","-0.026507236","-0.060519707"," 0.043030521","-0.036671288","-0.186986505","-0.189655504","-0.169896864"," 0.307744524","-0.191732030","-0.189655504","-0.181475945"," 0.051457423"," 0.140356921"," 0.158677523","-0.141377698","-0.169896864","-0.110500150","-0.065190454","-0.026507236","-0.141377698"," 0.006884002","-0.009164500"," 0.106131621","-0.124219030"," 0.140356921"," 0.227559535"," 0.799208331"," 0.402712542","-0.169896864"," 0.140356921","-0.169896864"," 0.051457423","-0.166393804","-0.019713946"," 0.375763713"," 0.073603205","-0.130753474"," 0.152350156"
"3.4987","-0.093042624","-0.117793940","-0.009888944","-0.068496627","-0.153103325","-0.038146455","-0.048741376","-0.058362354","-0.114429888","-0.027814761","-0.022326460","-0.058362354","-0.121876604","-0.136075115"," 0.024054288","-0.077446374","-0.046109097","-0.048741376","-0.121876604","-0.108825767","-0.117793940","-0.043476819","-0.009888944","-0.038146455","-0.104174531"," 0.079911240"," 0.020467809"," 0.841297819","-0.040811637","-0.124664187"," 0.079911240"," 0.079911240","-0.093042624"," 0.327806075","-0.104174531","-0.151879315"," 0.063314723"," 0.116723655","-0.085103672"," 0.111261677"," 0.054694011"," 0.178397943"," 0.841297819","-0.048741376"," 0.038623950"," 0.043704248","-0.114429888","-0.158702181","-0.156741134","-0.038146455"
"3.5276","-0.090747954","-0.045006712","-0.154451203","-0.108484967","-0.114274807","-0.083720648","-0.060561285","-0.069771031","-0.141919047","-0.118557190","-0.072883446","-0.004567824","-0.100205194","-0.180415489"," 0.003524453","-0.060561285","-0.105117559","-0.129394392"," 0.033568627","-0.075995860"," 0.050510661","-0.069771031","-0.158021104","-0.105117559","-0.034626998"," 0.050510661"," 0.343115114"," 0.095771916"," 0.113913917","-0.129394392"," 0.050510661"," 0.095771916"," 0.033568627"," 0.168639912","-0.152133766","-0.158021104"," 0.033568627"," 0.269219646","-0.004567824"," 0.343115114"," 0.343115114","-0.013065091"," 0.819584511","-0.060561285","-0.004567824"," 0.050510661","-0.133204287","-0.013065091","-0.075995860","-0.069771031"
"3.569"," 0.07195177"," 0.32860826"," 0.02561468","-0.18656939","-0.15462136","-0.08893830"," 0.32860826"," 0.02561468","-0.06212588","-0.03224452","-0.08893830","-0.13345733","-0.17217258"," 0.32860826","-0.15462136"," 0.02561468"," 0.02561468","-0.15462136","-0.03224452","-0.06212588","-0.08893830"," 0.07195177"," 0.14850430"," 0.02561468"," 0.64210615","-0.26968712","-0.08893830"," 0.32860826"," 0.14850430","-0.06212588","-0.13345733"," 0.07195177"," 0.14850430","-0.08893830","-0.28567668","-0.31075651","-0.15462136","-0.06212588"," 0.02561468"," 0.02561468"," 0.07195177","-0.03224452","-0.15462136","-0.18656939"," 0.64210615"," 0.32860826","-0.33816718","-0.35789385"," 0.07195177"," 0.02561468"
"3.59605"," 0.4789971698","-0.0003127576"," 0.0972150396","-0.0114662025","-0.2382586792","-0.0282338362","-0.2136807521","-0.0323839552","-0.2280851236","-0.0240001383","-0.2136807521","-0.2425701918","-0.0365340742"," 0.0206972200"," 0.0449927085","-0.0752858106","-0.2252837932","-0.0699944089","-0.2101704431","-0.0282338362"," 0.3601135519"," 0.0385946083"," 0.0344588994","-0.2215025737"," 0.0513908086"," 0.1528958032","-0.1798169336"," 0.0629189170"," 0.7574298082"," 0.4137192560"," 0.3601135519","-0.1798169336"," 0.2107957277"," 0.1950886800","-0.1798169336","-0.1628302659","-0.1798169336","-0.2308057571","-0.2024811948"," 0.2426997677","-0.2101704431","-0.0197664405"," 0.2107957277","-0.1679083977","-0.1980947495","-0.2252837932"," 0.0513908086","-0.1851025713"," 0.0883095758"," 0.5487710460"
"3.8933"," 0.36302324","-0.20114020","-0.02976503","-0.20114020"," 0.02622313","-0.20640533","-0.09372620"," 0.32966953","-0.19920305"," 0.06630959","-0.18945828","-0.01581229"," 0.23786194","-0.06595359"," 0.25459047","-0.11268126","-0.03592196","-0.11088881","-0.18945828","-0.08588608","-0.07512253"," 0.30231034","-0.18945828","-0.19779744"," 0.12622520","-0.14457030"," 0.05663864","-0.19339753","-0.15737139"," 0.05663864"," 0.11397041","-0.17510098","-0.17510098"," 0.70553734","-0.17510098","-0.16470360","-0.17174641"," 0.09876265","-0.18721107","-0.19339753","-0.18945828","-0.20533931"," 0.79359467","-0.16914485","-0.18535071"," 0.79359467","-0.18721107"," 0.17497861","-0.16470360"," 0.53879832"
"3.9128"," 0.052446326"," 0.163352758","-0.114011445","-0.083069637","-0.070810662","-0.046475878"," 0.319108457"," 0.198991441","-0.150487455","-0.046475878","-0.051905414"," 0.081386402","-0.070810662"," 0.081386402","-0.099567574"," 0.081386402","-0.046475878"," 0.052446326","-0.184700067"," 0.163352758","-0.114011445"," 0.133797770","-0.083069637"," 0.067269611"," 0.109554569","-0.157133729","-0.003275096"," 0.319108457","-0.291466969","-0.099567574","-0.250872363"," 0.133797770"," 0.081386402"," 0.242309973"," 0.319108457","-0.293366652","-0.308205637"," 0.109554569","-0.322565776","-0.326205527","-0.124111689"," 0.109554569"," 0.273958275","-0.108137081","-0.057334949","-0.083069637","-0.230595993","-0.083069637"," 0.673794473"," 0.133797770"
"3.9489","-0.085248758"," 0.670905558"," 0.173146340","-0.039257878"," 0.670905558","-0.221474215"," 0.049221681"," 0.354767225","-0.009124841","-0.132532397","-0.232317721"," 0.670905558","-0.039257878"," 0.049221681","-0.039257878"," 0.095949042","-0.085248758","-0.181618064","-0.085248758"," 0.173146340","-0.111190122","-0.024191360","-0.150231443","-0.164749518","-0.009124841","-0.232317721","-0.039257878","-0.009124841","-0.039257878","-0.248567310","-0.150231443","-0.221474215","-0.039257878","-0.111190122","-0.190071924","-0.085248758"," 0.173146340","-0.198948869","-0.009124841","-0.009124841","-0.039257878","-0.329094442","-0.181618064"," 0.049221681"," 0.354767225"," 0.670905558","-0.150231443","-0.111190122","-0.066296128","-0.085248758"
"3.9857","-0.09510005"," 0.05518487"," 0.29492373","-0.13668459"," 0.05518487"," 0.05518487"," 0.05518487","-0.27887032"," 0.29492373"," 0.12669141"," 0.05518487","-0.04214327"," 0.58775725"," 0.58775725"," 0.12669141"," 0.29492373","-0.18629574"," 0.12669141"," 0.05518487"," 0.29492373"," 0.29492373"," 0.12669141"," 0.05518487"," 0.05518487"," 0.12669141","-0.32790089"," 0.01190212","-0.17284789","-0.15645357"," 0.12669141","-0.20975145","-0.41224275","-0.09510005","-0.32394564"," 0.01190212"," 0.12669141","-0.11265555","-0.04214327","-0.15645357","-0.23883886","-0.20192078","-0.20975145","-0.31030910","-0.21797401","-0.04214327"," 0.12669141","-0.15645357"," 0.01190212","-0.07005498"," 0.05518487"
"4.01605","-0.069670650"," 0.344910214"," 0.013177442","-0.109888268","-0.025037805","-0.013984718","-0.108216288","-0.123944911","-0.007672244","-0.109888268"," 0.073558934","-0.038483725"," 0.187213501"," 0.032790664"," 0.214485791","-0.043850078"," 0.073558934","-0.032766956","-0.103670906","-0.095220902"," 0.113686445"," 0.809910774","-0.105107607","-0.043850078"," 0.214485791","-0.109888268","-0.086400458"," 0.026643386","-0.049306539","-0.151753837","-0.135356422","-0.083306795"," 0.247635040","-0.126886393","-0.032766956","-0.074726636","-0.177682536","-0.121061497","-0.091166101","-0.020542482","-0.051128696","-0.109888268","-0.190089226"," 0.479179188","-0.001359770"," 0.059702528","-0.091166101","-0.052950854","-0.049306539","-0.052950854"
"4.0615"," 0.1020246","-0.8979754"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246","-0.8048140"," 0.1020246","-0.4527736"," 0.1020246"," 0.1020246","-0.7082247","-0.8511585"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246","-0.7741382"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"," 0.1020246"
"4.1033","-0.15398193","-0.20052103","-0.03383125","-0.04403992","-0.26610750","-0.08032359","-0.03383125","-0.05103793","-0.21899017","-0.25922327","-0.06307015","-0.22277439","-0.23503416","-0.11163540","-0.18652501","-0.16029417","-0.15027252","-0.10240862","-0.09449105","-0.03383125"," 0.04855512","-0.21183318","-0.20958883"," 0.24417209","-0.22563282","-0.07196962"," 0.21529166","-0.03383125"," 0.16491846"," 0.24417209"," 0.04855512"," 0.02941580"," 0.32183597","-0.01417759","-0.12051929"," 0.10245071"," 0.21529166","-0.04403992"," 0.14725979"," 0.41114242"," 0.27938034"," 0.02941580","-0.20500973"," 0.16491846"," 0.73389250"," 0.16491846"," 0.01647961"," 0.02941580","-0.09449105"," 0.32183597"
