"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P013_2","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P100_2","P113"
"4.1433","-0.27964459","-0.30462415","-0.32392370","-0.13044760","-0.18880813","-0.17838438"," 0.08269320"," 0.01704540","-0.29539570","-0.36022271","-0.01132344","-0.31931103"," 0.03377334","-0.12301989","-0.26819719","-0.10594866","-0.23262535","-0.12301989","-0.11559219"," 0.14949573","-0.11559219"," 0.14949573","-0.45820911"," 0.05159359","-0.34118219"," 0.38303150"," 0.14949573"," 0.38303150"," 0.23678686","-0.11077042","-0.10594866"," 0.17873841"," 0.27511132"," 0.21088352","-0.41631436","-0.10594866","-0.13044760"," 0.21088352"," 0.21088352"," 0.27511132"," 0.50811655"," 0.03377334"," 0.38303150"," 0.05159359"," 0.08969958"," 0.54179089","-0.04565317"," 0.21088352"," 0.33983846"," 0.03377334"
"4.1671","-0.0716910341","-0.1080434739","-0.0870365312","-0.1855655486","-0.1347366931","-0.1636895243","-0.1080434739","-0.0306703847","-0.1456622898","-0.1855655486","-0.2712520237"," 0.0159123866","-0.1695992789","-0.1855655486","-0.0807294822","-0.2751653738","-0.0115009287","-0.1695992789","-0.1080434739","-0.0807294822","-0.1456622898","-0.0716910341","-0.0448488295"," 0.7248346262","-0.2177960588","-0.1401994915"," 0.0704907083","-0.1456622898"," 0.1471685323","-0.1598531500"," 0.6647686753","-0.0448488295","-0.0448488295","-0.1636895243","-0.2712520237"," 0.1166761852"," 0.0704907083","-0.0581581927"," 0.0472241535"," 0.4128095172"," 0.2330337899"," 0.0704907083","-0.0003518539","-0.0448488295"," 0.5825535603"," 0.0704907083"," 0.3593485861"," 0.0159123866"," 0.5825535603","-0.0581581927"
"6.8579"," 0.087000843","-0.130779224","-0.026804691","-0.072284771","-0.130779224"," 0.043767848","-0.205822527"," 0.005754646"," 0.216360423","-0.156913300","-0.058029821"," 0.372802069","-0.136303310"," 0.715178362"," 0.363298769","-0.180215112","-0.072284771","-0.104048266"," 0.113591358","-0.104048266","-0.104048266","-0.072284771","-0.065157296","-0.017898273"," 0.134213052","-0.161138289"," 0.113591358","-0.189601376","-0.152688310","-0.152688310","-0.141827396","-0.198004541","-0.198004541","-0.141827396","-0.180215112","-0.172092833","-0.161138289","-0.092906465"," 0.794177473"," 0.390099949","-0.198004541","-0.058029821"," 0.005754646"," 0.205183512"," 0.054500023","-0.205822527"," 0.581781050"," 0.169417396","-0.172092833","-0.152688310"
"6.8887","-0.015459066"," 0.005947356","-0.099412824"," 0.059063290","-0.123491476","-0.112002315","-0.071647351","-0.118804356"," 0.216496235"," 0.107692165","-0.056271310","-0.135123537"," 0.069980851","-0.190611612","-0.118804356","-0.028562997","-0.090710213"," 0.048145729"," 0.026653567","-0.178550851","-0.138495977"," 0.069980851"," 0.101240229","-0.178550851"," 0.201134483","-0.162824705","-0.162824705","-0.002169365","-0.160345389","-0.162824705","-0.157001529"," 0.256808328"," 0.048145729","-0.153657669","-0.176164421","-0.171034310","-0.165304020","-0.002169365"," 0.809388388"," 0.649268924","-0.182544906","-0.002169365"," 0.256808328","-0.173599366"," 0.014064076","-0.045489504"," 0.671346976","-0.002169365"," 0.083627803","-0.157001529"
"6.9116","-0.200186801","-0.083297880"," 0.002639341","-0.059451754"," 0.799813199","-0.083297880","-0.034586715"," 0.010835329"," 0.164887741","-0.088741017","-0.018874012"," 0.196295270","-0.071374817"," 0.335010368"," 0.300992993","-0.155587037"," 0.300992993"," 0.019147510","-0.034586715","-0.109932609","-0.155587037"," 0.090399878","-0.018874012","-0.094184155"," 0.010835329","-0.183776948"," 0.027459690"," 0.047766437","-0.183776948","-0.190194308","-0.183776948"," 0.177865468","-0.196164778","-0.176608809"," 0.117713882","-0.196164778","-0.190194308","-0.130167852"," 0.027459690"," 0.134785135","-0.034586715","-0.134511637"," 0.164887741"," 0.134785135"," 0.076957384","-0.026730364"," 0.148746023","-0.196164778"," 0.117713882","-0.176608809"
"6.9765"," 0.44160778","-0.10663116"," 0.31720246","-0.14719930"," 0.41507876","-0.07797708","-0.14719930"," 0.44160778","-0.05754905"," 0.05505189","-0.14411453","-0.06589849","-0.12435830"," 0.12042159","-0.07797708","-0.13461344"," 0.05505189","-0.01416348","-0.15339626","-0.15072280","-0.08450308","-0.14411453","-0.08450308","-0.14719930","-0.12435830","-0.13953537","-0.13953537","-0.14719930","-0.14411453","-0.14719930"," 0.37519612"," 0.22982122"," 0.84660374","-0.13953537","-0.15072280","-0.15072280","-0.14719930","-0.06172377","-0.13953537"," 0.67358245"," 0.17640672","-0.08450308"," 0.37519612","-0.14719930","-0.14411453","-0.07193778","-0.15072280","-0.14719930","-0.14411453","-0.13953537"
"7.0159","-0.093715751","-0.138353491","-0.074012094","-0.133209045","-0.061387424","-0.033544365"," 0.058718904","-0.127462742","-0.133209045","-0.057023960"," 0.086583458"," 0.022800929","-0.150046716","-0.143139688","-0.146363923","-0.080833142","-0.138353491","-0.074012094","-0.122490256"," 0.022800929","-0.138353491","-0.133209045","-0.013611430","-0.052660495","-0.146363923","-0.052660495"," 0.108479594"," 0.108479594","-0.028091826"," 0.239999713","-0.028091826"," 0.849953284","-0.103961653","-0.028091826"," 0.156699817","-0.061387424","-0.067699759"," 0.133356357","-0.001015419"," 0.052406569"," 0.086583458"," 0.065031239","-0.033544365"," 0.146296286"," 0.108479594","-0.022639287"," 0.075807348"," 0.239999713","-0.090233578"," 0.146296286"
"7.0508","-0.090087221"," 0.040749941"," 0.033873969","-0.015771035"," 0.463949084","-0.120290655","-0.102223070","-0.111350681","-0.008144516","-0.124582085"," 0.094995067"," 0.376183593","-0.033057810","-0.123401790","-0.081613311","-0.094457337"," 0.002496293","-0.113523633"," 0.011514953","-0.102223070"," 0.067394333"," 0.011514953","-0.113523633","-0.100122751","-0.020377210","-0.062050686","-0.081613311","-0.100122751","-0.053837047","-0.053837047","-0.053837047"," 0.304458003","-0.097290044"," 0.875417915","-0.084470229","-0.068902447","-0.072873079","-0.113523633","-0.090087221","-0.008144516","-0.100122751","-0.024983385","-0.092272279"," 0.443732757","-0.090087221"," 0.011514953","-0.100122751","-0.104323389","-0.078756393"," 0.148211218"
"7.0978"," 0.05724167","-0.14473512","-0.03653561","-0.14109138"," 0.14694973"," 0.08353334","-0.13090744","-0.13913314","-0.14109138","-0.15105712"," 0.30022692","-0.11997076","-0.15212079","-0.03653561","-0.11233418"," 0.84787921","-0.14473512"," 0.28451737","-0.13717490","-0.13090744","-0.14473512","-0.14109138"," 0.22234465"," 0.11608701","-0.14473512","-0.09470457","-0.11233418"," 0.17017586","-0.08730254","-0.08730254","-0.08730254","-0.12390906","-0.12646186","-0.08249695"," 0.09965744","-0.10087930"," 0.12897648","-0.04612498","-0.02340614","-0.02840810"," 0.52866992","-0.14473512","-0.12193991"," 0.16442660"," 0.18444537","-0.13717490","-0.03653561"," 0.01374585"," 0.12494545"," 0.11608701"
"7.1207","-0.12125778","-0.13922740"," 0.30142556"," 0.11577099"," 0.26695226","-0.14165803"," 0.85834197","-0.03625201","-0.13709942"," 0.47944304","-0.11904468","-0.09597736"," 0.66568871"," 0.66568871"," 0.01451690","-0.13922740","-0.09597736","-0.13709942","-0.13394055"," 0.49138338","-0.13922740"," 0.44669576","-0.13816341","-0.12675270","-0.12864897","-0.10447983"," 0.11577099","-0.12675270","-0.09907948","-0.09907948","-0.09907948","-0.12511179","-0.12675270","-0.09372643","-0.11733756","-0.10901006","-0.10901006","-0.13709942","-0.11904468","-0.13394055","-0.12675270","-0.10447983","-0.12347088","-0.11904468","-0.11904468","-0.02757930","-0.12675270","-0.02757930","-0.11343626","-0.10447983"
"7.1607","-0.0700341911"," 0.1574871487","-0.0749353367","-0.0761560545"," 0.1494464922","-0.0626623710","-0.0736232477","-0.0761560545"," 0.1390027759","-0.0661637114","-0.0442711967"," 0.0293446682"," 0.0073534727"," 0.0826633578","-0.0553051703","-0.0626623710","-0.0056358423","-0.0541922704"," 0.0040860423","-0.0736232477"," 0.0293446682","-0.0431199209","-0.0765672245","-0.0371844545"," 0.1972335756","-0.0635504981","-0.0678595590","-0.0175652527","-0.0614635822","-0.0614635822","-0.0614635822","-0.0715235399"," 0.9234327755","-0.0593949406","-0.0685192583","-0.0653011683","-0.0653011683","-0.0355087086"," 0.1046563807"," 0.0358027773","-0.0230621378","-0.0399073132","-0.0338329627"," 0.0022019703","-0.0304339579","-0.0262820553"," 0.0729140618"," 0.0003178983","-0.0670116352","-0.0635504981"
"7.18685","-0.106740612"," 0.306476747","-0.074201781","-0.068069573","-0.021738290","-0.030499407","-0.041648615","-0.030499407"," 0.185438027","-0.044174316","-0.053353994","-0.101247714"," 0.000511390","-0.123706675"," 0.153013870","-0.014023577","-0.061277988","-0.118443124","-0.116143905","-0.111470927"," 0.876293325","-0.097486397"," 0.143438566","-0.111470927"," 0.399276921","-0.089705746","-0.014023577","-0.039122914","-0.086213913","-0.086213913","-0.086213913","-0.109401056","-0.109401056","-0.086213913","-0.104034299","-0.094757149","-0.097486397","-0.078565138"," 0.143438566"," 0.047960747","-0.006607017"," 0.094765061"," 0.014665065","-0.109401056","-0.016262593"," 0.027221900"," 0.210695041","-0.114154306"," 0.053224297","-0.002444340"
"7.2155"," 0.309626799","-0.011457496","-0.289956641","-0.207875698"," 0.550078047","-0.097719526"," 0.352482947"," 0.231850828"," 0.309626799"," 0.254769382","-0.044209349"," 0.710043359","-0.005770443","-0.011457496","-0.067553754"," 0.190233521","-0.028708354"," 0.288527793"," 0.288527793"," 0.190233521"," 0.067201149","-0.107614767","-0.085315633"," 0.145093261","-0.051309455","-0.195669245","-0.245520971","-0.215076460","-0.215076460"," 0.054270749"," 0.274435979"," 0.110986427","-0.255849806","-0.110475715","-0.158364653","-0.222176566","-0.089396065","-0.218626513","-0.168782529","-0.207875698","-0.276151309","-0.044209349","-0.081235202","-0.239628735","-0.186436010","-0.207875698","-0.142728160"," 0.629750993","-0.242574853","-0.225060742"
"7.2931"," 0.0522978614"," 0.0632782298"," 0.2279837563"," 0.0008292749"," 0.2979193261"," 0.0123843734"," 0.0522978614"," 0.0856322030"," 0.0632782298"," 0.1084096615","-0.0334730331"," 0.5895040685","-0.0919140022"," 0.7518653014"," 0.2860012402","-0.0467976950"," 0.0923928431"," 0.1084096615"," 0.1511967997"," 0.0268282465"," 0.1206907347","-0.1031817357"," 0.0454691612"," 0.0788715630","-0.1031817357","-0.0975478690","-0.1735634774","-0.2215836837"," 0.1962374845","-0.0780448592","-0.0639790980"," 0.1318677213","-0.1973467135","-0.0553883965","-0.1838254333","-0.1317594301","-0.1375142926","-0.2396725551","-0.2010219607","-0.2278527784","-0.2215836837","-0.2481346986"," 0.0788715630","-0.1923858858","-0.2046972080","-0.2340160017","-0.2082665840"," 0.4316045555","-0.1838254333","-0.1735634774"
"7.3257","-0.0816462866"," 0.2105083583","-0.2597854528","-0.2094750764"," 0.6935734706"," 0.0122147609"," 0.3492203628","-0.2597854528"," 0.4090246075"," 0.2848740237","-0.2597854528"," 0.5143388581","-0.0374321135","-0.1336220977"," 0.1591426129"," 0.1149017215"," 0.0316299885","-0.2597854528"," 0.1149017215"," 0.0592833287"," 0.3010830669"," 0.1149017215"," 0.1880205374"," 0.1498580373","-0.0008326283","-0.2781853887","-0.1578688671","-0.2014328972","-0.1242351024"," 0.2358906513","-0.2164307152","-0.0979800148"," 0.0592833287","-0.2014328972","-0.1683913861","-0.1545780750","-0.0708343204"," 0.5143388581","-0.1242351024","-0.1778229117","-0.1857849363","-0.2597854528"," 0.5143388581","-0.0439736202","-0.1242351024","-0.1949670921","-0.1778229117","-0.1647755226","-0.0979800148","-0.3064265294"
"7.3659","-0.24530599","-0.18518175","-0.21861903","-0.24530599"," 0.40641343","-0.19413207"," 0.03323321"," 0.17188790"," 0.03323321","-0.15514696","-0.15514696"," 0.05855371","-0.24530599"," 0.20494257","-0.14107243","-0.16154883","-0.23836437","-0.11295068","-0.21861903","-0.21861903","-0.08461030","-0.18518175","-0.20554201","-0.15514696","-0.23339046","-0.37745360","-0.11295068","-0.30152215","-0.08461030","-0.20026747"," 0.62254640","-0.01093078"," 0.48790910"," 0.25209910"," 0.08942204"," 0.40641343"," 0.30465315"," 0.05855371"," 0.62254640"," 0.05855371","-0.16795069"," 0.62254640","-0.23836437","-0.31151098"," 0.03323321"," 0.12664441"," 0.62254640"," 0.48790910","-0.06569849","-0.23339046"
"7.4135","-0.187563440","-0.148048648"," 0.004742413","-0.269350612"," 0.721595575","-0.278404425","-0.087700523","-0.124553366"," 0.016179227","-0.093980808","-0.181091877"," 0.232562165","-0.278404425"," 0.197813377"," 0.057881758","-0.187563440","-0.093980808","-0.156448929","-0.141282198","-0.220730203","-0.037617636","-0.181091877","-0.184327659","-0.129259596","-0.211345639","-0.250342387","-0.144665423","-0.230553111","-0.064516067"," 0.010460820"," 0.721595575","-0.064516067","-0.203128666"," 0.373151301"," 0.016179227"," 0.197813377"," 0.151508225"," 0.131384213"," 0.254280158","-0.124553366","-0.160732753"," 0.583795907"," 0.151508225"," 0.084919663","-0.064516067","-0.008567330"," 0.329157422"," 0.347049860"," 0.049812229","-0.124553366"
"7.4292","-0.136009068","-0.050167969","-0.250939546","-0.198804949","-0.142297801","-0.198804949"," 0.046768268","-0.010196127"," 0.088303254"," 0.001958120","-0.152306181"," 0.187089744","-0.198804949","-0.228064465","-0.149588223","-0.050167969","-0.252475043","-0.056271677","-0.040725299","-0.171595599"," 0.034178041","-0.117474639","-0.146870265","-0.134203477","-0.134203477","-0.185908474","-0.142297801","-0.178524477","-0.087109224","-0.032218389"," 0.747524957"," 0.001958120"," 0.167162308"," 0.296871414","-0.056271677"," 0.177126026"," 0.296871414"," 0.140344275"," 0.326305321"," 0.046768268","-0.144584033"," 0.696079421","-0.006910333","-0.222147910","-0.072647478"," 0.065313331"," 0.387448735"," 0.411544557","-0.040725299","-0.130298805"
"7.4999","-0.22513859"," 0.38243832","-0.08668113","-0.07879955"," 0.22123025"," 0.43820545"," 0.18361062","-0.07091797"," 0.12244561"," 0.39537007","-0.20107991"," 0.75336921"," 0.04780243"," 0.22123025","-0.24663079","-0.02157532"," 0.22123025","-0.11645230","-0.23812001","-0.10840514"," 0.38243832"," 0.20242044","-0.07091797"," 0.06866543","-0.02157532"," 0.58795543","-0.18869457","-0.21960824"," 0.43820545","-0.18869457","-0.17519985"," 0.25040534"," 0.38243832","-0.16745074","-0.21960824","-0.20771964","-0.19444018","-0.23812001","-0.19444018","-0.24237540","-0.23439448","-0.24663079","-0.21366394","-0.21366394","-0.20107991","-0.23812001","-0.21960824"," 0.36662549","-0.20107991","-0.17519985"
"7.5507","-0.01104715","-0.01104715"," 0.25509846"," 0.04663552"," 0.35428648"," 0.35428648","-0.24962487","-0.26540455"," 0.02228397"," 0.19506017"," 0.19506017"," 0.02228397"," 0.58764457"," 0.12009284"," 0.58764457"," 0.35428648","-0.16667961"," 0.25509846"," 0.08137599"," 0.25509846"," 0.35428648","-0.21864435"," 0.19506017"," 0.08137599"," 0.04663552","-0.31358418","-0.34843538","-0.41235543","-0.36280873"," 0.25509846","-0.19992013"," 0.58764457","-0.21864435","-0.40723949"," 0.12009284"," 0.25509846"," 0.08137599"," 0.19506017","-0.24736488","-0.39979208","-0.27811890","-0.10153746","-0.31358418","-0.16667961","-0.38241883","-0.38988838"," 0.02228397"," 0.35428648","-0.37800958","-0.39170644"
"7.5698"," 0.063503154","-0.041939331"," 0.117026765","-0.059461749"," 0.256817080"," 0.186062821","-0.212905285","-0.223255020","-0.032683734"," 0.050049309"," 0.186062821"," 0.050049309"," 0.460505054"," 0.073455758"," 0.699497215"," 0.204428131","-0.037311533"," 0.256817080","-0.002274802"," 0.221918129"," 0.421294390","-0.180303214"," 0.139460647","-0.059461749"," 0.018165317","-0.169361834","-0.236686172","-0.295892817","-0.230354760"," 0.204428131","-0.083192387"," 0.460505054","-0.182684383","-0.226524467","-0.012891993"," 0.256817080","-0.032683734"," 0.083408361","-0.208553047","-0.297468375","-0.232071341","-0.127233468","-0.194843093","-0.133798296","-0.293766137","-0.300502785","-0.032683734"," 0.286853194","-0.281834359","-0.274501203"
"7.6349"," 0.126237867","-0.029589952"," 0.173957737","-0.029589952"," 0.274889987"," 0.274889987","-0.222078797","-0.237448965","-0.029589952"," 0.109509336"," 0.201316933"," 0.016003786"," 0.467231184"," 0.126237867"," 0.665242069"," 0.323776278","-0.062043007"," 0.323776278"," 0.016003786"," 0.201316933"," 0.410445720","-0.168836887"," 0.142169098","-0.014382196"," 0.109509336","-0.209912592","-0.293056198","-0.332321737","-0.275562849"," 0.274889987","-0.214238682"," 0.410445720","-0.201009411","-0.293056198"," 0.016003786"," 0.274889987","-0.002127403"," 0.046626004","-0.222078797","-0.333691912","-0.300099013","-0.127008177","-0.219952664","-0.237448965","-0.307553766","-0.334757931","-0.002127403"," 0.359492356","-0.323548486","-0.321750132"
"7.6799","-0.183845030","-0.113470511","-0.191101641","-0.065125570"," 0.018430981","-0.065125570","-0.159396581","-0.065125570","-0.146214549","-0.207838926"," 0.146030455","-0.219624832","-0.113470511","-0.262466436"," 0.067392815","-0.359529700","-0.001277131","-0.207838926","-0.176588419","-0.065125570","-0.104744720","-0.057674151","-0.134217601","-0.219624832","-0.374416305"," 0.008576925"," 0.031223396","-0.134217601"," 0.291649702"," 0.079316710"," 0.625583695"," 0.044015812"," 0.130324031"," 0.114617607"," 0.008576925"," 0.205203494"," 0.255610156"," 0.146030455"," 0.102929106"," 0.490273056"," 0.273629929","-0.065125570","-0.311688014"," 0.356991672","-0.113470511","-0.065125570"," 0.255610156"," 0.577530966"," 0.067392815","-0.113470511"
"7.69755","-0.1349219377"," 0.0907656672","-0.1349219377"," 0.0499471073","-0.1255471657","-0.0003921354"," 0.2444462683"," 0.0173360327"," 0.1894014007","-0.0647752973","-0.1051561246"," 0.1129805939","-0.0477037280","-0.0647752973","-0.1420350916"," 0.4674345225","-0.1255471657"," 0.0084719486","-0.1349219377","-0.1255471657"," 0.0412654118","-0.0176096155","-0.1349219377"," 0.2444462683","-0.0477037280"," 0.8579649084","-0.0920606260","-0.1173396805","-0.1051561246","-0.1173396805","-0.1051561246"," 0.3804351791","-0.1255471657","-0.0920606260","-0.1255471657","-0.1255471657","-0.1173396805","-0.1349219377","-0.0920606260"," 0.5231724666","-0.1349219377","-0.1420350916","-0.1173396805","-0.1173396805","-0.1051561246","-0.1349219377","-0.1255471657"," 0.6029674619","-0.1051561246","-0.0920606260"
"7.7714"," 0.10792366","-0.11378088"," 0.06884713","-0.11076249","-0.11076249","-0.06816451","-0.11076249"," 0.88621912"," 0.13320073","-0.08636772","-0.10678441","-0.08636772","-0.08947124","-0.08636772","-0.06816451","-0.11378088"," 0.35008359"," 0.06175005"," 0.02686057","-0.11378088","-0.08099653"," 0.02686057","-0.11378088","-0.11076249","-0.11378088","-0.10330165","-0.10330165","-0.11076249"," 0.19536406","-0.11076249","-0.10330165"," 0.20934153"," 0.41753297","-0.10330165","-0.11378088","-0.11378088","-0.11076249","-0.11378088","-0.10330165"," 0.64025912"," 0.22057922","-0.06098229"," 0.10792366","-0.11076249"," 0.05021825","-0.02181289","-0.11378088","-0.11076249","-0.10678441","-0.10330165"
"7.8313"," 0.07232533","-0.07377089"," 0.03024973","-0.11916523"," 0.43280638"," 0.09989308","-0.21521514","-0.22884132","-0.07377089"," 0.03024973"," 0.03024973"," 0.19602184"," 0.15327246"," 0.00651680"," 0.72203130"," 0.09989308","-0.05791549"," 0.07232533","-0.04248299"," 0.04758889"," 0.72203130","-0.17459463"," 0.72203130","-0.07377089"," 0.43280638","-0.21808230","-0.23094152","-0.27796870","-0.23995014"," 0.04758889","-0.17459463"," 0.72203130","-0.20054244","-0.26452602","-0.04248299"," 0.07232533","-0.05791549"," 0.03024973","-0.20779277","-0.26387875","-0.23371550","-0.17050175","-0.22332204","-0.18234313","-0.26323149","-0.26920522","-0.09437861"," 0.43280638","-0.24958810","-0.25080521"
"7.8463"," 0.160634248"," 0.086052241"," 0.252487259"," 0.017349414","-0.315926740"," 0.427029974","-0.180138227","-0.209589836"," 0.035353484"," 0.219367394"," 0.292424626","-0.318546714"," 0.680039937"," 0.252487259","-0.316514658"," 0.427029974"," 0.005180539"," 0.376433845"," 0.144814711"," 0.292424626","-0.315338823","-0.115335304","-0.310529918"," 0.035353484","-0.319960063","-0.177689790","-0.207478609","-0.304401497","-0.219882065"," 0.340968173","-0.093871168"," 0.483417313","-0.143660925","-0.225259827"," 0.128203464"," 0.376433845"," 0.128203464"," 0.292424626","-0.164040125","-0.260644862","-0.207478609","-0.093871168","-0.193274747","-0.099207880","-0.254168968","-0.309145892"," 0.035353484"," 0.427029974","-0.284591155","-0.275949788"
"7.9505","-0.136424268","-0.074040446"," 0.436375553"," 0.023341132","-0.147529325","-0.158377989","-0.142177104","-0.151134863","-0.151134863"," 0.052938594","-0.124437857","-0.155253189"," 0.712864239","-0.107435741"," 0.315037177","-0.155253189"," 0.038035703","-0.151134863","-0.147529325","-0.002682841"," 0.004359977","-0.096154413"," 0.218617076","-0.136424268","-0.111153452","-0.111153452","-0.116938337"," 0.235587142","-0.103718031","-0.103718031"," 0.494528876","-0.136424268"," 0.071142555","-0.096154413"," 0.155407987","-0.116938337","-0.111153452"," 0.436375553","-0.124437857","-0.147529325","-0.136424268","-0.151134863","-0.129998398","-0.129998398","-0.124437857","-0.142177104"," 0.315037177"," 0.841622011","-0.116938337","-0.103718031"
"7.9715","-0.1664384199","-0.1873724829","-0.1809700600"," 0.0873206790"," 0.2024580256","-0.1446542426","-0.0393330588","-0.0492289198","-0.0271525158","-0.1011456618","-0.0393330588"," 0.0753260985","-0.1319290952","-0.1383846501","-0.0692730195"," 0.1884577068","-0.0793814091"," 0.2080966739"," 0.0522667499","-0.1051903459","-0.0971009776"," 0.8126275171","-0.1011456618"," 0.0002902343","-0.1383846501","-0.1446542426"," 0.0119925881"," 0.1106589714","-0.1383846501","-0.1383846501","-0.1383846501"," 0.0522667499","-0.1717649168","-0.1319290952","-0.1618292067","-0.1508175708"," 0.0969641624"," 0.0002902343"," 0.0649520482","-0.0492289198","-0.0147992933"," 0.0649520482","-0.0492289198","-0.1618292067"," 0.3221647362"," 0.0753260985"," 0.0873206790"," 0.5591207959"," 0.1225340046"," 0.0522667499"
"8.4618"," 0.296392516","-0.037072666","-0.049001029"," 0.041307593","-0.109095579","-0.040623058","-0.024782116","-0.074973694","-0.089175261","-0.077875960"," 0.048751501","-0.116958863","-0.113518081","-0.096838388","-0.116958863","-0.104596828","-0.049001029","-0.020350083"," 0.041307593","-0.058632361","-0.055005719","-0.010504299","-0.005090547","-0.015918050"," 0.032205246"," 0.107502145"," 0.087672373","-0.033522275","-0.121419490","-0.123073162","-0.119189176"," 0.710668427"," 0.003306487"," 0.272040165"," 0.057358223"," 0.048751501"," 0.017641491","-0.093712137"," 0.868029413","-0.055005719","-0.055005719","-0.116958863","-0.130259727"," 0.017641491","-0.126637851","-0.062259002","-0.131970587","-0.130259727","-0.126637851"," 0.041307593"
"8.5282","-0.124197572","-0.027614939","-0.124197572","-0.124197572","-0.124197572","-0.058053782","-0.124197572","-0.124197572"," 0.038977031","-0.073030439","-0.116914659","-0.045093931"," 0.012011578","-0.027614939"," 0.875802428","-0.086438469"," 0.020825770"," 0.003197386"," 0.299331839"," 0.020825770"," 0.255092810","-0.112115406","-0.036354435","-0.124197572"," 0.003197386","-0.112115406","-0.112115406","-0.124197572","-0.112115406","-0.124197572","-0.112115406","-0.112115406"," 0.333580205","-0.112115406"," 0.471731466"," 0.574719328","-0.124197572"," 0.020825770","-0.112115406","-0.124197572","-0.124197572","-0.045093931","-0.112115406","-0.124197572","-0.112115406","-0.124197572"," 0.238678245","-0.124197572"," 0.443645565","-0.112115406"
"8.8399"," 0.14476732"," 0.06836196"," 0.54365201","-0.11305269","-0.12805173","-0.14133613","-0.08712486","-0.04187135","-0.17527626","-0.09475258","-0.17527626"," 0.57858567","-0.15907538"," 0.82472374","-0.14411640","-0.04187135","-0.17527626","-0.17527626"," 0.09246298"," 0.18739280","-0.17527626","-0.17527626","-0.14689667"," 0.02113743","-0.15010961","-0.17527626","-0.17527626","-0.02967662","-0.17527626"," 0.53191398","-0.17527626","-0.17527626","-0.17527626","-0.17527626"," 0.05424428"," 0.17087142"," 0.41947728"," 0.37476860","-0.17527626"," 0.08041247"," 0.02113743","-0.01958112","-0.17527626"," 0.31909910","-0.17527626","-0.06324819","-0.04187135"," 0.12460035","-0.17527626","-0.17527626"
"9.1278"," 0.306280504"," 0.167274707"," 0.834255178","-0.106380552","-0.121609259","-0.144055451","-0.076587662","-0.051538746","-0.165744822","-0.088696792","-0.067801159"," 0.284471149","-0.140354414"," 0.336691771","-0.133450733","-0.001625503","-0.165744822","-0.165744822"," 0.074075018"," 0.299459889","-0.165744822","-0.163372836","-0.125928674","-0.008649167","-0.150682246","-0.163372836","-0.163372836","-0.015672832","-0.163372836"," 0.515762912","-0.163372836","-0.163372836","-0.165744822","-0.163372836"," 0.125188098"," 0.176088899"," 0.464262192"," 0.139069295","-0.163372836"," 0.056908111"," 0.026229187","-0.051538746","-0.163372836"," 0.291965519","-0.163372836","-0.076587662","-0.040297191"," 0.095044486","-0.165744822","-0.163372836"
